1I,1H,2I,2H,3I,3H,4I,4H,5I,5H,6I,6H,7I,7H,8I,8H,9I,9H,10I,10H,11I,11H,12I,12H,13I,13H,14I,14H,15I,15H,Emotion,Emotionrating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,69,777,69,755,70,736,70,788,71,856,72,888,72,921,72,959,71,946,71,920,70,946,69,925,69,908,68,893,68,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,67,918,67,931,67,955,67,931,66,905,66,904,66,885,66,877,66,909,66,930,66,917,66,927,66,952,66,923,66,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,67,789,68,819,69,915,69,965,69,968,69,955,68,964,68,944,67,905,67,917,66,925,66,926,66,923,66,944,66,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,66,848,66,875,67,842,67,868,67,913,68,937,68,907,67,928,67,902,67,894,67,917,67,931,67,912,67,873,67,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,71,858,71,961,71,1016,71,943,70,917,69,924,69,885,68,850,68,870,68,895,68,882,68,901,68,909,68,896,68,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,69,814,69,802,69,845,70,862,70,854,70,872,70,836,70,808,70,840,70,844,71,820,71,822,71,835,71,829,71,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,73,783,73,768,74,761,74,785,74,842,75,878,75,928,74,993,73,1025,72,998,71,1016,70,969,69,929,68,912,68,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,71,750,72,838,72,907,73,879,72,914,72,921,71,913,70,882,70,891,70,866,70,849,70,836,70,847,70,853,70,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,70,820,70,863,71,888,71,906,70,970,69,1037,69,992,68,983,68,978,67,929,66,927,66,912,66,865,66,875,66,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,66,912,67,922,67,899,66,916,66,958,66,940,66,899,66,890,66,888,66,871,66,850,66,867,67,851,67,839,68,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,69,835,69,835,69,859,69,848,70,823,70,840,70,846,70,842,70,874,70,902,70,908,70,870,69,873,69,892,69,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,73,727,73,766,74,825,75,835,75,865,75,896,74,885,73,865,73,874,73,826,72,806,72,813,72,843,72,866,72,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,71,887,70,860,70,872,70,878,70,847,70,850,70,867,70,871,70,871,70,895,70,905,70,882,69,863,69,885,69,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,70,758,71,752,73,737,73,780,73,816,74,880,74,900,74,883,73,879,72,865,72,806,72,799,72,799,72,801,72,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,73,820,73,832,73,816,73,828,73,855,73,870,73,856,72,871,72,891,72,908,72,916,71,922,71,919,70,892,69,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
