event,value,timestamp
IBI,804,2022-10-18T19:00:23.557236
HR,76,2022-10-18T19:00:23.557236
IBI,798,2022-10-18T19:00:24.360481
HR,76,2022-10-18T19:00:24.368269
IBI,825,2022-10-18T19:00:25.574747
HR,76,2022-10-18T19:00:25.582531
IBI,829,2022-10-18T19:00:26.385296
HR,75,2022-10-18T19:00:26.385296
IBI,807,2022-10-18T19:00:26.393897
HR,75,2022-10-18T19:00:26.393897
IBI,788,2022-10-18T19:00:27.605300
HR,75,2022-10-18T19:00:27.608333
IBI,800,2022-10-18T19:00:28.415627
HR,75,2022-10-18T19:00:28.419072
IBI,797,2022-10-18T19:00:29.624773
HR,75,2022-10-18T19:00:29.633641
IBI,757,2022-10-18T19:00:30.442790
HR,75,2022-10-18T19:00:30.442790
IBI,831,2022-10-18T19:00:30.443460
HR,75,2022-10-18T19:00:30.443965
IBI,864,2022-10-18T19:00:31.646615
HR,75,2022-10-18T19:00:31.658425
IBI,828,2022-10-18T19:00:32.464800
HR,75,2022-10-18T19:00:32.468656
IBI,899,2022-10-18T19:00:33.669123
HR,75,2022-10-18T19:00:33.683091
IBI,920,2022-10-18T19:00:34.487471
HR,74,2022-10-18T19:00:34.493853
IBI,863,2022-10-18T19:00:35.707049
HR,73,2022-10-18T19:00:35.707049
IBI,868,2022-10-18T19:00:36.510263
HR,72,2022-10-18T19:00:36.518651
IBI,844,2022-10-18T19:00:36.518651
HR,72,2022-10-18T19:00:36.519648
IBI,861,2022-10-18T19:00:37.728614
HR,72,2022-10-18T19:00:37.733268
IBI,794,2022-10-18T19:00:38.531812
HR,72,2022-10-18T19:00:38.543206
IBI,778,2022-10-18T19:00:39.752032
HR,72,2022-10-18T19:00:39.758555
IBI,785,2022-10-18T19:00:40.554743
HR,73,2022-10-18T19:00:40.568518
IBI,798,2022-10-18T19:00:40.568518
HR,73,2022-10-18T19:00:40.569514
IBI,804,2022-10-18T19:00:41.372559
HR,73,2022-10-18T19:00:41.377903
IBI,796,2022-10-18T19:00:42.582818
HR,73,2022-10-18T19:00:42.593266
IBI,785,2022-10-18T19:00:43.396051
HR,74,2022-10-18T19:00:43.403626
IBI,828,2022-10-18T19:00:44.610787
HR,74,2022-10-18T19:00:44.618531
IBI,919,2022-10-18T19:00:46.231463
HR,74,2022-10-18T19:00:46.238665
IBI,899,2022-10-18T19:00:46.632832
HR,73,2022-10-18T19:00:46.643098
IBI,890,2022-10-18T19:00:47.451135
HR,73,2022-10-18T19:00:47.453466
IBI,951,2022-10-18T19:00:48.654206
HR,71,2022-10-18T19:00:48.667889
IBI,930,2022-10-18T19:00:48.667889
HR,71,2022-10-18T19:00:48.668887
IBI,889,2022-10-18T19:00:49.471321
HR,71,2022-10-18T19:00:49.471321
IBI,856,2022-10-18T19:00:50.689567
HR,70,2022-10-18T19:00:50.689567
IBI,846,2022-10-18T19:00:51.490958
HR,70,2022-10-18T19:00:51.490958
IBI,864,2022-10-18T19:00:52.709089
HR,70,2022-10-18T19:00:52.717354
IBI,829,2022-10-18T19:00:53.525652
HR,70,2022-10-18T19:00:53.527400
IBI,841,2022-10-18T19:00:53.527400
HR,70,2022-10-18T19:00:53.528484
IBI,891,2022-10-18T19:00:54.741401
HR,70,2022-10-18T19:00:54.743181
IBI,891,2022-10-18T19:00:55.550209
HR,70,2022-10-18T19:00:55.550209
IBI,859,2022-10-18T19:00:56.760556
HR,70,2022-10-18T19:00:56.768120
IBI,937,2022-10-18T19:00:57.571116
HR,70,2022-10-18T19:00:57.578607
IBI,974,2022-10-18T19:00:58.380740
HR,70,2022-10-18T19:00:58.380740
IBI,938,2022-10-18T19:00:59.601447
HR,69,2022-10-18T19:00:59.601447
IBI,930,2022-10-18T19:01:00.400347
HR,68,2022-10-18T19:01:00.412265
IBI,941,2022-10-18T19:01:01.620362
HR,68,2022-10-18T19:01:01.620362
IBI,877,2022-10-18T19:01:02.422691
HR,68,2022-10-18T19:01:02.437794
IBI,854,2022-10-18T19:01:03.642718
HR,68,2022-10-18T19:01:03.642718
IBI,904,2022-10-18T19:01:03.653190
HR,68,2022-10-18T19:01:03.653190
IBI,910,2022-10-18T19:01:04.461023
HR,68,2022-10-18T19:01:04.463335
IBI,856,2022-10-18T19:01:05.664918
HR,68,2022-10-18T19:01:05.664918
IBI,855,2022-10-18T19:01:06.483467
HR,68,2022-10-18T19:01:06.483467
IBI,877,2022-10-18T19:01:07.687942
HR,68,2022-10-18T19:01:07.702798
IBI,836,2022-10-18T19:01:08.506061
HR,68,2022-10-18T19:01:08.513238
IBI,808,2022-10-18T19:01:09.726159
HR,69,2022-10-18T19:01:09.726159
IBI,831,2022-10-18T19:01:09.728527
HR,69,2022-10-18T19:01:09.728527
IBI,798,2022-10-18T19:01:11.347536
HR,69,2022-10-18T19:01:11.348283
IBI,816,2022-10-18T19:01:11.748551
HR,70,2022-10-18T19:01:11.753044
IBI,896,2022-10-18T19:01:12.557211
HR,70,2022-10-18T19:01:12.557211
IBI,850,2022-10-18T19:01:13.360082
HR,70,2022-10-18T19:01:13.373599
IBI,906,2022-10-18T19:01:14.580765
HR,70,2022-10-18T19:01:14.588232
IBI,964,2022-10-18T19:01:15.383515
HR,70,2022-10-18T19:01:15.383515
IBI,913,2022-10-18T19:01:16.612350
HR,69,2022-10-18T19:01:16.613198
IBI,929,2022-10-18T19:01:17.422439
HR,69,2022-10-18T19:01:17.422972
IBI,985,2022-10-18T19:01:18.631523
HR,68,2022-10-18T19:01:18.631523
IBI,942,2022-10-18T19:01:19.442291
HR,67,2022-10-18T19:01:19.447941
IBI,917,2022-10-18T19:01:19.447941
HR,67,2022-10-18T19:01:19.449060
IBI,941,2022-10-18T19:01:20.662150
HR,67,2022-10-18T19:01:20.663099
IBI,942,2022-10-18T19:01:21.471559
HR,67,2022-10-18T19:01:21.473016
IBI,900,2022-10-18T19:01:22.681165
HR,66,2022-10-18T19:01:22.687630
IBI,880,2022-10-18T19:01:23.483544
HR,66,2022-10-18T19:01:23.483544
IBI,917,2022-10-18T19:01:24.703354
HR,66,2022-10-18T19:01:24.713725
IBI,902,2022-10-18T19:01:25.521647
HR,66,2022-10-18T19:01:25.522875
IBI,921,2022-10-18T19:01:26.726471
HR,66,2022-10-18T19:01:26.738580
IBI,997,2022-10-18T19:01:27.544522
HR,66,2022-10-18T19:01:27.544522
IBI,958,2022-10-18T19:01:28.748975
HR,66,2022-10-18T19:01:28.762938
IBI,933,2022-10-18T19:01:29.567971
HR,66,2022-10-18T19:01:29.573627
IBI,944,2022-10-18T19:01:30.371263
HR,65,2022-10-18T19:01:30.371263
IBI,958,2022-10-18T19:01:31.590782
HR,65,2022-10-18T19:01:31.590782
IBI,951,2022-10-18T19:01:32.393641
HR,65,2022-10-18T19:01:32.407812
IBI,917,2022-10-18T19:01:32.407812
HR,65,2022-10-18T19:01:32.408808
IBI,905,2022-10-18T19:01:33.619717
HR,65,2022-10-18T19:01:33.619717
IBI,863,2022-10-18T19:01:35.239507
HR,65,2022-10-18T19:01:35.241932
IBI,828,2022-10-18T19:01:35.640185
HR,65,2022-10-18T19:01:35.640185
IBI,808,2022-10-18T19:01:36.442016
HR,66,2022-10-18T19:01:36.457247
IBI,860,2022-10-18T19:01:37.666268
HR,67,2022-10-18T19:01:37.672047
IBI,899,2022-10-18T19:01:38.475162
HR,67,2022-10-18T19:01:38.475162
IBI,953,2022-10-18T19:01:39.695327
HR,67,2022-10-18T19:01:39.697908
IBI,1042,2022-10-18T19:01:40.505495
HR,67,2022-10-18T19:01:40.507898
IBI,1011,2022-10-18T19:01:41.716409
HR,66,2022-10-18T19:01:41.723003
IBI,911,2022-10-18T19:01:41.723003
HR,66,2022-10-18T19:01:41.723003
IBI,916,2022-10-18T19:01:42.525849
HR,65,2022-10-18T19:01:42.532981
IBI,856,2022-10-18T19:01:43.732634
HR,65,2022-10-18T19:01:43.748217
IBI,825,2022-10-18T19:01:44.551337
HR,66,2022-10-18T19:01:44.558000
IBI,837,2022-10-18T19:01:45.353304
HR,66,2022-10-18T19:01:45.368152
IBI,848,2022-10-18T19:01:46.579243
HR,67,2022-10-18T19:01:46.579243
IBI,839,2022-10-18T19:01:47.382399
HR,67,2022-10-18T19:01:47.392879
IBI,865,2022-10-18T19:01:48.603066
HR,68,2022-10-18T19:01:48.608232
IBI,913,2022-10-18T19:01:49.406121
HR,68,2022-10-18T19:01:49.406121
IBI,940,2022-10-18T19:01:49.418335
HR,68,2022-10-18T19:01:49.418335
IBI,938,2022-10-18T19:01:50.625455
HR,68,2022-10-18T19:01:50.633007
IBI,919,2022-10-18T19:01:51.427859
HR,67,2022-10-18T19:01:51.443206
IBI,948,2022-10-18T19:01:52.648017
HR,67,2022-10-18T19:01:52.657426
IBI,944,2022-10-18T19:01:53.466797
HR,67,2022-10-18T19:01:53.468165
IBI,876,2022-10-18T19:01:54.671695
HR,66,2022-10-18T19:01:54.683026
IBI,855,2022-10-18T19:01:55.490469
HR,66,2022-10-18T19:01:55.492785
IBI,859,2022-10-18T19:01:56.694893
HR,67,2022-10-18T19:01:56.708619
IBI,882,2022-10-18T19:01:57.512042
HR,67,2022-10-18T19:01:57.517711
IBI,877,2022-10-18T19:01:58.721734
HR,67,2022-10-18T19:01:58.733235
IBI,916,2022-10-18T19:01:59.540627
HR,67,2022-10-18T19:01:59.542877
IBI,998,2022-10-18T19:02:00.744889
HR,67,2022-10-18T19:02:00.757957
